Symbol,Entry Date,Exit Date,Shares,Entry Price,Exit Price,Exit Reason,PnL %,PnL,Cash
QQQ,2021-12-07,2021-12-20,47,397.83,380.97,STOP_LOSS,-4.24,-792.42,79483.08
SPY,2021-12-07,2021-12-20,53,468.28,453.45,STOP_LOSS,-3.17,-785.99,78697.09
MSFT,2021-12-07,2021-12-17,50,334.92,319.2,STOP_LOSS,-4.69,-786.0,77911.09
AAPL,2021-12-09,2022-01-20,79,174.56,164.73,STOP_LOSS,-5.63,-776.57,77134.52
NVDA,2021-12-15,2022-01-10,210,30.46,26.79,STOP_LOSS,-12.06,-770.7,76363.82
TSLA,2021-12-22,2022-01-24,20,336.29,298.12,STOP_LOSS,-11.35,-763.4,75600.42
MSFT,2022-01-03,2022-01-05,50,334.75,319.75,STOP_LOSS,-4.48,-750.0,74850.42
QQQ,2022-01-04,2022-01-06,53,396.47,382.56,STOP_LOSS,-3.51,-737.23,74113.19
AAPL,2022-01-28,2022-02-23,70,170.33,159.81,STOP_LOSS,-6.17,-736.4,73376.79
TSLA,2022-03-28,2022-04-11,22,363.95,331.37,STOP_LOSS,-8.95,-716.76,72660.03
GOOGL,2022-03-29,2022-04-06,107,142.51,135.78,STOP_LOSS,-4.72,-720.11,71939.92
AAPL,2022-03-29,2022-04-06,81,178.96,170.15,STOP_LOSS,-4.92,-713.61,71226.31
SPY,2022-03-31,2022-04-12,50,451.64,437.53,STOP_LOSS,-3.12,-705.5,70520.81
TSLA,2022-04-21,2022-04-26,19,336.26,299.65,STOP_LOSS,-10.89,-695.59,69825.22
TSLA,2022-07-29,2022-08-31,28,297.15,272.25,STOP_LOSS,-8.38,-697.2,69128.02
AMZN,2022-08-01,2022-09-01,60,135.39,124.05,STOP_LOSS,-8.38,-680.4,68447.62
AMD,2022-08-04,2022-08-09,76,103.91,94.91,STOP_LOSS,-8.66,-684.0,67763.62
NVDA,2022-08-08,2022-08-29,400,17.79,16.1,STOP_LOSS,-9.53,-676.0,67087.62
SPY,2022-08-10,2022-08-26,53,419.99,407.52,STOP_LOSS,-2.97,-660.91,66426.71
AAPL,2022-08-17,2022-08-22,95,174.55,167.59,STOP_LOSS,-3.99,-661.2,65765.51
QQQ,2022-08-19,2022-08-26,52,322.86,310.36,STOP_LOSS,-3.87,-650.0,65115.51
AMZN,2022-09-09,2022-09-16,77,133.27,124.89,STOP_LOSS,-6.29,-645.26,64470.25
AAPL,2022-09-12,2022-09-13,81,163.43,155.48,STOP_LOSS,-4.86,-643.95,63826.3
TSLA,2022-09-13,2022-09-26,29,292.13,270.36,STOP_LOSS,-7.45,-631.33,63194.97
NVDA,2022-11-11,2022-12-27,380,16.33,14.67,STOP_LOSS,-10.14,-630.8,62564.17
SPY,2022-11-18,2022-12-19,39,396.03,380.27,STOP_LOSS,-3.98,-614.64,61949.53
QQQ,2022-11-30,2022-12-07,45,293.36,279.89,STOP_LOSS,-4.59,-606.15,61343.38
AMD,2022-11-30,2022-12-06,80,77.63,69.97,STOP_LOSS,-9.86,-612.8,60730.58
MSFT,2022-12-12,2022-12-19,50,252.51,240.39,STOP_LOSS,-4.8,-606.0,60124.58
AMD,2022-12-13,2022-12-16,101,71.65,65.73,STOP_LOSS,-8.27,-597.92,59526.66
QQQ,2022-12-13,2022-12-15,51,288.65,276.99,STOP_LOSS,-4.04,-594.66,58932.0
GOOGL,2023-01-27,2023-02-09,103,99.37,93.67,STOP_LOSS,-5.74,-587.1,58344.9
AMZN,2023-02-01,2023-02-07,82,105.15,98.09,STOP_LOSS,-6.71,-578.92,57765.98
MSFT,2023-02-02,2023-02-22,42,264.6,251.16,STOP_LOSS,-5.08,-564.48,57201.5
SPY,2023-02-03,2023-02-21,45,412.35,399.9,STOP_LOSS,-3.02,-560.25,56641.25
